1|Dev1|Tue Jun  2 21:47:51 2026|test_cm01.txt|teste inicial|5ad2169b|17
2|Dev1|Tue Jun  2 21:47:51 2026|test_cm01.txt|segundo snapshot|bae44c32|17
3|Dev1|Tue Jun  2 21:47:51 2026|test_cm03.txt|Change proposal #1|5ad2169b|17
4|Dev1|Tue Jun  2 21:47:51 2026|test_cm04.txt|Change proposal #2|5ad2169b|17
5|Dev1|Tue Jun  2 21:47:51 2026|test_cm05.txt|antes da alteracao|5ad2169b|17
6|SYSTEM|Tue Jun  2 21:47:51 2026|EMERGENCY|Falha crítica na execução|00001505|0
7|Dev1|Tue Jun  2 21:47:51 2026|test_cm07a.txt|snap A|80562edb|10
8|Dev1|Tue Jun  2 21:47:51 2026|test_cm07b.txt|snap B|8460bffc|10
9|Dev1|Tue Jun  2 21:49:05 2026|test_cm01.txt|teste inicial|5ad2169b|17
10|Dev1|Tue Jun  2 21:49:05 2026|test_cm01.txt|segundo snapshot|bae44c32|17
11|Dev1|Tue Jun  2 21:49:05 2026|test_cm03.txt|Change proposal #1|5ad2169b|17
12|Dev1|Tue Jun  2 21:49:05 2026|test_cm04.txt|Change proposal #2|5ad2169b|17
13|Dev1|Tue Jun  2 21:49:05 2026|test_cm05.txt|antes da alteracao|5ad2169b|17
14|SYSTEM|Tue Jun  2 21:49:05 2026|EMERGENCY|Falha crítica na execução|00001505|0
15|Dev1|Tue Jun  2 21:49:05 2026|test_cm07a.txt|snap A|80562edb|10
16|Dev1|Tue Jun  2 21:49:05 2026|test_cm07b.txt|snap B|8460bffc|10
